model_name,track,pretrained_model,L1,component_order,batch_size,epochs,pred_head,layer_pool,token_pool,last_k_layer,num_heads
xlm-base_mlp_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,,,
xlm-base_mlp_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,,,4
xlm-base_mlp_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,,4,
xlm-base_mlp_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,,4,4
xlm-base_mlp_mha_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mha,,
xlm-base_mlp_mha_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mha,,4
xlm-base_mlp_mha_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mha,4,
xlm-base_mlp_mha_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mha,4,4
xlm-base_mlp_mean_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mean,,
xlm-base_mlp_mean_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mean,,4
xlm-base_mlp_mean_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mean,4,
xlm-base_mlp_mean_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mean,4,4
xlm-base_mlp_cls_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,cls,,
xlm-base_mlp_cls_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,cls,,4
xlm-base_mlp_cls_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,cls,4,
xlm-base_mlp_cls_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,cls,4,4
xlm-base_mlp_ScalarMix_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,,,
xlm-base_mlp_ScalarMix_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,,,4
xlm-base_mlp_ScalarMix_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,,4,
xlm-base_mlp_ScalarMix_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,,4,4
xlm-base_mlp_ScalarMix_mha_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mha,,
xlm-base_mlp_ScalarMix_mha_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mha,,4
xlm-base_mlp_ScalarMix_mha_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mha,4,
xlm-base_mlp_ScalarMix_mha_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mha,4,4
xlm-base_mlp_ScalarMix_mean_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mean,,
xlm-base_mlp_ScalarMix_mean_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mean,,4
xlm-base_mlp_ScalarMix_mean_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mean,4,
xlm-base_mlp_ScalarMix_mean_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mean,4,4
