model_name,track,pretrained_model,mtl,L1,component_order,batch_size,epochs,pred_head,layer_pool,token_pool,last_k_layer,num_heads,run
mbert-base_mtl_mlp_ScalarMix_mean_last4_open_xx_new,open,jhu-clsp/mmBERT-base,1,xx,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,ScalarMix,mean,last4,,new
mbert-base_mtl_mlp_Mean_mean_last4_open_xx_new,open,jhu-clsp/mmBERT-base,1,xx,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Mean,mean,last4,,new
mbert-base_mtl_mlp_Max_mean_last4_open_xx_new,open,jhu-clsp/mmBERT-base,1,xx,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Max,mean,last4,,new
mbert-base_mtl_mlp_ScalarMix_mean_last4_closed_cn_new,closed,jhu-clsp/mmBERT-base,1,cn,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,ScalarMix,mean,last4,,new
mbert-base_mtl_mlp_Mean_mean_last4_closed_cn_new,closed,jhu-clsp/mmBERT-base,1,cn,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Mean,mean,last4,,new
mbert-base_mtl_mlp_Max_mean_last4_closed_cn_new,closed,jhu-clsp/mmBERT-base,1,cn,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Max,mean,last4,,new
mbert-base_mtl_mlp_ScalarMix_mean_last4_closed_de_new,closed,jhu-clsp/mmBERT-base,1,de,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,ScalarMix,mean,last4,,new
mbert-base_mtl_mlp_Mean_mean_last4_closed_de_new,closed,jhu-clsp/mmBERT-base,1,de,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Mean,mean,last4,,new
mbert-base_mtl_mlp_Max_mean_last4_closed_de_new,closed,jhu-clsp/mmBERT-base,1,de,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Max,mean,last4,,new
mbert-base_mtl_mlp_ScalarMix_mean_last4_closed_es_new,closed,jhu-clsp/mmBERT-base,1,es,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,ScalarMix,mean,last4,,new
mbert-base_mtl_mlp_Mean_mean_last4_closed_es_new,closed,jhu-clsp/mmBERT-base,1,es,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Mean,mean,last4,,new
mbert-base_mtl_mlp_Max_mean_last4_closed_es_new,closed,jhu-clsp/mmBERT-base,1,es,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Max,mean,last4,,new
